filename,Q1,Q2,Q3,writer_name,year_of_publish,page_length,key_concepts
Introduction The Power of Algorithms.pdf,"Why does Safiya Umoja Noble argue that algorithms and big data are not benign, neutral, or objective?","According to the author, what is the primary business of Google, and how does this conflict with the public perception of the company?","How did the mass shooter Dylann Roof allegedly use Google Search, and what does this case illustrate about privatized information?",Safiya Umoja Noble,2018,16,Algorithmic Oppression (Noble); Technological Redlining (Noble)
Doing More with Less.pdf,How does the author define the relationship between informed speculation and empirical evidence?,"What does the author mean when she states that for informed speculation, the archive is ""not an endpoint but a point of embarkation""?","According to the text, what are two of the four key questions a scholar should ask themselves when employing speculative methods?

",Allyson Nadia Field,2025,8,Informed Speculation (Field); Archival Absence (Field)
Woman as Sign.pdf,"What is Elizabeth Cowie's primary criticism of the way early feminist film analysis approached the category of ""woman""?","What does Lévi-Strauss mean when he asserts that the exchange of women is a ""language""?","According to Cowie, what is the key problem with how Pam Cook and Claire Johnston apply the concept of ""woman as sign"" to the cinema of Raoul Walsh?",Elizabeth Cowie,1978,18,Woman as Sign (Cowie); Exchange of Women (Critique)
Rhetoric of the Image.pdf,"What are the three distinct messages that Roland Barthes identifies within the Panzani advertisement, and what is the substance of each?","Why does Barthes argue that the photograph, in its literal state, can be considered a ""message without a code""? How does this distinguish it from a drawing?","What is the paradox of the photograph's ""real unreality""? Explain the new space-time category it introduces as the ""having-been-there.""",Roland Barthes,1977,12,Anchorage and Relay (Barthes); The Linguistic Message (Barthes)
Introduction Identity in the Age of the Internet.pdf,"According to the author, how has the role of the computer evolved from its earlier function into what it is today?","Explain the meaning of the phrase ""RL is just one more window"" as expressed by the character Doug"," In what way does the author propose the computer has become a new ""test object,"" analogous to Emerson's ""dreams and beasts""?",Sherry Turkle,1995,18,Life on the Screen (Turkle); Culture of Simulation (Turkle)
How to Read a Book v5.pdf,,,,Paul N. Edwards,2017,11,Personal Text Markup Language (Edwards); Hourglass Information Structure (Edwards)
Introduction The Double Logic of Remediation.pdf,"What is the ""double logic of remediation"" as described in the text?","How does a computer flight simulator demonstrate an experience of immediacy that is actually ""pure hypermediacy""?","What is the goal of media that operate under the logic of immediacy, such as illusionistic painting or photorealistic computer graphics?","Jay David Bolter, Richard Grusin",1999,15,Remediation (Bolter & Grusin); Double Logic of Remediation
The Work of Art in the Age of Mechanical Reproduction.pdf,"According to Walter Benjamin, what fundamental element is missing from even the most perfect mechanical reproduction of a work of art?"," Explain the distinction Benjamin makes between ""cult value"" and ""exhibition value.""",Benjamin draws an analogy between a surgeon and a cameraman. What is the basis of this comparison?,Walter Benjamin,1935,26,Aura (Benjamin); Cult Value vs Exhibition Value (Benjamin)
New Media and the Permanent Crisis of Aura.pdf,"According to the text, what was Walter Benjamin's central argument regarding ""aura"" and the rise of mechanical reproduction technologies like film?","How do the authors challenge Benjamin's claim that film destroys aura, using the example of the Hollywood ""star system""?","What political consequence did Benjamin hope would result from the decay of aura, and how do the authors conclude this hope has fared in the digital age?","Jay David Bolter, Blair MacIntyre, Maribeth Gandy, Petra Schweitzer",2006,19,Permanent Crisis of Aura (Bolter et al.); Pure Virtuality vs Mixed Reality
Procedural Rhetoric.pdf," Define ""procedural rhetoric"" as described in the text."," What are ""unit operations"" and how do they relate to procedural systems?","How does the author differentiate procedural rhetoric from B. J. Fogg's concept of ""captology"" or ""persuasive technology""?",Ian Bogost,2007,64,Procedural Rhetoric (Bogost); Persuasive Games (Bogost)
Live Streaming as Media.pdf," Explain Hector Postigo's ""roulette table"" metaphor and how it applies to Twitch's content and platform sustainability."," How does the text argue against the ""death of television,"" and what concept does it propose as a more accurate description of the current media landscape?"," In contrast to more critical theories, what kind of experience does the author suggest the ""work of play"" can be for gamers and streamers?",T.L. Taylor,2018,11,Transformative Play (Taylor); Live Streaming as Media
Machinic Intimacies.pdf,"What is the ""general intellect"" as defined in the article, and how has its relevance shifted from the factory to the digital era?"," What is ""technosexuality,"" and how does the article use E. T. A. Hoffmann's story ""The Sand-Man"" to illustrate its core fantasy?","Describe the fundamental change from Google's ""topological"" model to its ""second index"" and the effect this has on a user's experience of the Web.",Alla Ivanchikova,2016,27,Machinic Intimacy (Ivanchikova); Technosexuality (Ivanchikova)
Desire.pdf," What fundamental shift occurred in the European understanding of ""nature"" during the late 18th and early 19th centuries?",What does Nicéphore Niépce's struggle to name his process—from héliographie to compounds based on phusis (nature)—reveal about his conceptual dilemma?,"According to the text's conclusion, what fundamental paradox is embedded within the term ""photo-graphy"" itself?",Geoffrey Batchen,1997,47,Desire to Photograph (Batchen); Proto-photography (Batchen)
A Propaganda Model.pdf,"According to the text, what is the primary function of the mass media in a society with concentrated wealth and class conflicts?","Why do the mass media develop a symbiotic relationship with powerful sources like government and corporations, according to the third filter?","Define the principle of ""dichotomization"" and explain the difference between ""worthy"" and ""unworthy"" victims.","Edward S. Herman, Noam Chomsky",1988,35,The Five Filters (Herman & Chomsky); Propaganda Model (Herman & Chomsky)
As We May Think.pdf,"What is the central problem that Bush's essay, ""As We May Think,"" aims to address regarding scientific research?","Explain the concept of ""associative indexing"" and how it functions within the memex.","What is a ""trail"" in the context of the memex, and what new profession does Bush imagine will emerge from this concept?",Vannevar Bush,1945,14,The Memex (Bush); Associative Indexing (Bush)
Beyond Radical Design.pdf,"What is the primary objective of ""speculative design""?","What distinction do the authors make between predicting the future and their own interest in ""possible futures""?","The text contrasts ""top-down mega-utopias"" with ""one million tiny utopias."" What societal shift does this reflect?","Anthony Dunne, Fiona Raby",2013,9,Speculative Design (Dunne & Raby); Preferable Futures (Dunne & Raby)
What Is New Media.pdf,"According to the popular but limited understanding, what distinguishes ""new media"" from ""old media""?","Explain the principle of ""Numerical Representation"" and identify its two key consequences.","The author argues that claims of ""flawless replication"" for digital media are a myth in practice. What technology is cited as the primary reason for this?",Lev Manovich,2001,43,Numerical Representation (Manovich); Cultural Transcoding (Manovich)
Modernist Painting.pdf,What is the core distinction between the criticism of the Enlightenment and the self-criticism of Modernism?,"Explain the fundamental importance of ""flatness"" to Modernist painting's project of self-definition.",Does Greenberg view Modernism as a radical break from artistic tradition? Explain his position.,Clement Greenberg,1960,8,Modernist Painting (Greenberg); Flatness (Greenberg)
